Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species,
70,2025-07-21,Deep Reef South,"Závora, Mozambique",Predatory Fish Survey,28.7,,18,40,Air,22,23,10,None,7.5,5,Steel,"Em, Rose, Amandine, Isa, Verna","2x Green turtle (1M,1F), 1x Hawksbill turtle (F), 3x Potato bass, 1x Bull shark (F), 1x Giant trevally",
71,2025-07-22,Macanza,"Závora, Mozambique",Practice nudi transect,17.9,,50,60,Air,22,23,7,None,7.5,5,Steel,Rose,1x Bluespotted maskray (F) 1x Greyspotted Guitarfish,
72,2025-07-22,Witch's Hat,"Závora, Mozambique",Manta ID,16.6,,40,43,Air,22,22,7,None,7.5,5,Steel,"Em, Rose, Amandine, Verna, Carlito","7x Bluespotted maskray (2F, 2M, 3U) 1x Guitarfish (U)",
73,2025-07-24,Rio sainas,"Závora, Mozambique",Fish survey,31.7,,22,35,Air,22,23,8,None,7.5,5,Steel,"Em, Rose","3x Brindle bass, 1x Yellow ornate boxfish, 1x Hypselodoris cavae",
74,2025-07-24,Area 51,"Závora, Mozambique",Practice nudi quadrat,16.6,,25,63,Air,23,23,15,None,7.5,5,Steel,Amandine,"3x Whitetip reefshark (2F, 1M) ",
75,2025-07-25,Yogi's,"Závora, Mozambique",Predatory Fish Survey,31.1,,18,35,Air,22,23,20,Light,7.5,5,Steel,Em,"1x Eagle ray (U), 7 Pickhandle barracuda, 5x African grouper, 1x Blue and yellow grouper",
76,2025-07-25,Witch's Hat,"Závora, Mozambique",Manta ID,14.3,,60,69,Air,23,23,8,None,7.5,5,Steel,"Em, Ed, Rose, Amandine, Isabella, Verna","3x Manta alfredi (1F, 2M), 1x Manta birostris (oceanic manta) (F), 1x whitetip reefshark (F), 5x bluespotted maskray (1M, 3F, 2U), 1x Jenkins whipray (1F), 1x turtle (U)",
77,2025-11-03,Bachelors Beach,"Bonaire, Caribbean Netherlands",Fun dive,15.0,,-,49,Air,30,30,,,3,2,Steel,"Larry, dad","1x Moray eel, 2x bearded fireworm",
78,2025-11-03,Red Beryl,"Bonaire, Caribbean Netherlands",Fun dive,18.0,,-,55,Air,30,30,,,3,2,Steel,"Larry, dad","Bottlenose dolphin pod (7), 2x Caribbean reef squid, 1x Southern ray",
79,2025-11-05,Pink Beach,"Bonaire, Caribbean Netherlands",Fun dive,20.0,,-,56,Air,30,30,,,3,2,Steel,"Larry, dad","2x Caribbean reef suid, moray eels, 1x southern ray, ",
80,2025-11-05,Vista Blue,"Bonaire, Caribbean Netherlands",Fun dive,14.0,,-,58,Air,30,30,,,3,2,Steel,"Larry, dad","5x hawksbill turtle, 1x green turtle, ",
81,2026-1-16,Sponge city,"Závora, Mozambique",Thesis SPUE,19.9,,41,50,Air,22,24,2,Surge,2,3,Steel,Em,3x Sakuraeolis arcana,
82,2026-1-16,Witch's Hat,"Závora, Mozambique",Thesis SPUE,16.1,,41,49,Air,22,24,5,Surge,2,3,Steel,Em,"7x Sakuraeolis arcana, 2x Halgerda leopardalis, 2x hypselodoris sp. undescribed, 4x Chromodoris celinae, 1x Chromodoris africana, 1x Goniobranchus annulatus",
83,2026-1-17,Area 51,"Závora, Mozambique",Thesis SPUE,13.6,,51,56,Air,23,23,6,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"3x Nembrotha purpureolineata egg ribbons - 1 right near eggs, 2x mating, 4x Jenkins Whipray (3F,1M), 2x Bluespotted Maskray (2F)x 1x Green turtle (F)",
84,2026-1-17,Witch's Hat,"Závora, Mozambique",Thesis SPUE,16.1,,50,58,Air,22,23,6,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"1x Manta alfredi (M), 2x Blotched fantail ray (2F), 3x Bluespotted maskray (2F,1U), 4x Jenkins Whipray (2M,2F)",
85,2026-1-18,Sponge city,"Závora, Mozambique",Thesis Belt transect/SPUE,21.3,,43,51,Air,22,23,5,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"2x Halgerda mating, ",
86,2026-1-18,Area 51,"Závora, Mozambique",Thesis Belt transect/SPUE,14.4,,54,60,Air,22,23,7,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
87,2026-1-18,Witch's Hat,"Závora, Mozambique",Thesis Belt transect,15.1,,41,48,Air,21,23,5,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
88,2026-1-23,Sponge city,"Závora, Mozambique",Thesis Belt transect/SPUE,22.2,,37,45,Air,25,25,3,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,,
89,2026-1-23,Area 51,"Závora, Mozambique",Thesis Belt transect/SPUE,16.0,,53,60,Air,25,25,4,Surge,5 mm wetsuit w 2 mm shortie,3,Steel,Em,"1x Green turtle (F), 3x hypselodoris undescribed very tiny (>10mm) all near eachother",
