Dive #,Date (yyyy-mm-dd),Site,Location,Dive Type,Max depth (m),Average depth (m),Bottom Time,Total Time,Gas Mixture,Bottom temp (°C),Surface temp (°C),Vis (m),Current,Wetsuit thickness (mm),Weights (kgs),Tank Type,Buddies,Key Species,
159,2026-6-27,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,16.6,,35,40,Air,27,27,15,None,5,3,Aluminum,Paige,,
160,2026-6-27,Kewalo Pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,18.4,,29,34,Air,27,27,12,None,5,3,Aluminum,Paige,,
161,2026-6-28,Nautilus Reef,"Honolulu, O'ahu, Hawai'i",Divemaster training,13.3,,30,34,Air,27,27,25,Surge,5,3,Aluminum,Josiah,1x Eagle ray,
162,2026-7-2,"Kewlao pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,18.0,,35,40,Air,28,28,30,Surge,5,3,Aluminum,Callum,,
163,2026-7-2,Kewalo pipe,"Honolulu, O'ahu, Hawai'i",Divemaster training,17.2,,26,33,Air,28,28,30,None,5,3,Aluminum,Callum,,
164,2026-7-3,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster training,30.0,,27,35,Nitrox,28,28,20,None,5,3,Aluminum,,"3x Moray eel, 1x Blue dragon nudi ",
165,2026-7-3,"Kewalo pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,19.3,,45,51,Air,28,28,30,None,5,3,Aluminum,,,
166,2026-7-4,Sea Tiger shipwreck,"Honolulu, O'ahu, Hawai'i",Divemaster evaluation,30.0,,24,31,Air,27,27,20,Light,5,3,Aluminum,Ed,"1x Sandbar shark, 1x Blue dragon nudi",
167,2026-7-4,"Kewlao pipe, Horsehoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster evaluation,19.3,,40,44,Air,27,27,8,Surge,5,3,Aluminum,Ed,"1x Whitetip reef shark, 2x Moray eel",
168,2026-7-6,Nautilus Reef,"Honolulu, O'ahu, Hawai'i",Divemaster training,13.0,8.1,35,41,Air,26,27,5,Surge,no wesuit!,3,Aluminum,"Ed, Josiah",1x Hawaiian green turtle,
169,2026-7-6,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Divemaster training,15.8,11.1,30,35,Air,26,28,8,Surge,no wesuit!,3,Aluminum,"Ed, Josiah","3x Whitetip reef shark, 3x Moray eel",
170,2026-7-11,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Professional,18.3,12.6,40,47,Air,26,28,30,None,5,3,Aluminum,,"3x Moray eel, 1x Day octopus, 2x Hawaiian green turtle",
171,2026-7-11,"Kewalo Pipe, Secrets Reef","Honolulu, O'ahu, Hawai'i",Professional,15.4,10.7,43,49,Air,26,27,30,None,5,3,Aluminum,,"1x Eagle ray, 1x Gold lace nudi, 2x trailing Imperial nudi, 2x Moray eel, 2x Hawaiian green turtle",
172,2026-7-13,Three Tables,"North Shore, O'ahu, Hawai'i",Fun dive,14.1,8.9,66,67,Air,25,26,25,Surge,no wetsuit!,0,Aluminum,"Callum, Josiah, Julian","1x Seven-eleven crab, 2x Tom Smith's nudi, 1x Gold lace nudi, 1x Caramel nudi, 1x Fellow's nudi",
173,2026-7-13,Haleiwa Trench,"North Shore, O'ahu, Hawai'i",Fun dive,20.6,10.1,49,50,Nitrox,25,26,4,None,no wetsuit!,0,Aluminum,"Callum, Josiah, Julian","3x Yellow-margined Spanish Dancer, 5x Imperial nudi, 2x Polka-dotted nudi, 2x Fellows nudi, 1x Maritigrella eschara flatworm, 1x Moray eel, 3x Hawaiian green turtle",
174,2026-7-19,Nautilus Reef,"Honolulu, O'ahu, Hawai'i",Professional,12.0,8.1,28,32,Air,26,26,5,None,5,3,Aluminum,,1x Hawaiian green turtle,
175,2026-7-19,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Professional,18.8,14.4,49,55,Air,26,28,15,None,5,3,Aluminum,,"4x Hawaiian green turtle, 5x Moray eel",
176,2026-7-26,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Professional,12.4,7.2,22,25,Air,26,27,5,Surge,no wetsuit!,0,Aluminum,Callum,,5 DSDs with me and Callum on this dive. I had to two 2 of them the whole time but it was fine
177,2026-7-26,"Kewalo Pipe, Horseshoe Reef, Secrets Reef","Honolulu, O'ahu, Hawai'i",Professional,14.1,8.1,25,31,Air,26,27,5,Surge,no wetsuit!,2,Aluminum,"Callum, Josiah",2x Moray eel,"We joiend Josiahs group and there was 8 customers total, 3 certs 5 DSD, chill again, went to secrets."
178,2026-7-27,Sea Tiger,"Honolulu, O'ahu, Hawai'i",Fun dive,33.0,22.5,30,38,Nitrox,26,27,10,Light,5,3,Aluminum,Caleb,"3x Hawaiian green turtle, 1x Moray eel, 1x Sevel-eleven crab",
179,2026-7-27,"Kewalo Pipe, Seagrass meadow","Honolulu, O'ahu, Hawai'i",Fun dive,24.6,19.7,38,44,Nitrox,26,27,20,Surge,5,3,Aluminum,Caleb,2x Octopus,
180,2026-7-29,Sea Tiger,"Honolulu, O'ahu, Hawai'i",Professional,30.2,18.8,27,33,Air,26,28,15,NLight,5,3,Aluminum,,"1x Hawaiian green turtle, 2x Moray eel","Lead a customer on 2 dives today, first was the sea tiger. I havent been on the sea tiger in a while without Nitrox so i forgot how shrot the dives are and my new computer makes me do a 5 min safety stop"
181,2026-7-29,"Kewalo Pipe, Horseshoe Reef","Honolulu, O'ahu, Hawai'i",Professional,18.2,13.4,49,55,Air,26,28,15,Surge,5,3,Aluminum,,"5x Hawaiian green turtle, 3x Moray eel","Took the customer over to Horseshoe and hoenstly found soo many good shells today!! Super nice, saw some cool eels, awesome stuff. "
